"Variable","Adjusted RR","P-value","AIC","Moran's I","Moran's I p-value","Overdispersion"
"Amitrole",1.06585479053821,0.100070881621444,3856.17293681267,NA,NA,0.146
"N-Nitroso-N-methylurea",1.06750277670768,0.102542150989413,3856.25303234542,NA,NA,0.145
"Nickel",1.07535867393042,0.106355564734592,3856.06753331877,NA,NA,0.145
"p-Cresol",1.07062300424228,0.109856243988288,3855.9542550836,NA,NA,0.145
"Thioacetamide",1.06374380202079,0.110170116133824,3856.41321803937,NA,NA,0.146
"2,4-D 2-ethyl-4-methylpentyl ester",1.06240962282716,0.110995426449525,3856.60402430975,NA,NA,0.145
"N,N-Dimethylformamide",1.06534662551612,0.11479595785307,3856.69905393091,NA,NA,0.148
"2,4,5-Trichlorophenol",1.06214733707425,0.11520221094577,3856.36096538411,NA,NA,0.146
"Ethyleneimine (Aziridine)",1.06287447939493,0.117949143276635,3856.56997782404,NA,NA,0.146
"Aniline",1.06613601421549,0.120057372636583,3856.27706035988,NA,NA,0.146
"Ages 50 54",1.11370461781815,0.121677288643887,3855.82619390291,NA,NA,0.148
"Bis(chloromethyl)ether",1.06143259372756,0.12362342698026,3856.79871587982,NA,NA,0.145
"Aluminum (fume or dust)",1.0591650392004,0.125424624452816,3857.21162517447,NA,NA,0.148
"Dimethyl sulfate",1.06150678540337,0.125819914554636,3856.42332899144,NA,NA,0.146
"Cresol (mixed isomers)",1.06850815528166,0.125936721891334,3856.67449527009,NA,NA,0.147
"2,4-D butyl ester",1.06105864277638,0.125950357520045,3856.50781020331,NA,NA,0.146
"2,4-D isopropyl ester",1.06070903197396,0.127053663837115,3856.76068131639,NA,NA,0.146
"Lead",0.890132035813215,0.129104211109936,3855.9135431845,NA,NA,0.147
"Sodium azide",1.06023147734161,0.13105098330159,3856.68518069546,NA,NA,0.146
"2,6-Dinitrotoluene",1.05600077811014,0.131905882876844,3856.3934165227,NA,NA,0.147
"Sodium fluoroacetate",1.05963942265821,0.133635744969804,3856.64400140623,NA,NA,0.146
"Sodium dicamba",1.04435850277552,0.134876245915022,3857.36283600009,NA,NA,0.147
"Dinitrobutyl phenol (Dinoseb)",1.05632268235426,0.13488739134881,3856.86403561261,NA,NA,0.147
"Dihydrosafrole",1.06038049986858,0.135130811596818,3856.84519063587,NA,NA,0.146
"Cumene",1.0676967282741,0.135982445950784,3856.78099398759,NA,NA,0.148
"Trichloroethylene",1.07872244395067,0.136368753284535,3856.49739554438,NA,NA,0.148
"N-Nitrosomethylvinylamine",1.05930350496248,0.137906308171783,3856.75947150224,NA,NA,0.146
"Dichlorophene",1.0592314019283,0.141444649802464,3856.7662481842,NA,NA,0.145
"2,4-D, propylene glycol butyl ether ester",1.05828704137707,0.143907589413897,3856.85954429032,NA,NA,0.146
"4,4'-Methylenedianiline",1.290531405071,0.146920638917776,3855.87300541423,NA,NA,0.146
"Methoxone sodium salt",1.07066752372326,0.147673652831987,3856.27322046943,NA,NA,0.147
"Pyridine",1.06974086522804,0.147897182472709,3856.31620184532,NA,NA,0.145
"Trypan blue",1.05802871208114,0.149625338829097,3856.80562085061,NA,NA,0.146
"Fenoxaprop ethyl",1.0581085524948,0.149695800614306,3856.75672133603,NA,NA,0.146
"N-Nitroso-N-ethylurea",1.05747666037045,0.152094694234871,3856.91245485588,NA,NA,0.146
"Octachlorostyrene",1.06155502400292,0.152102163644576,3856.61643860502,NA,NA,0.148
"2,4-D chlorocrotyl ester",1.05695407765938,0.155462847252425,3857.04696769509,NA,NA,0.145
"Bis(2-chloroethoxy)methane",1.0541394804263,0.155678610775861,3856.5700472226,NA,NA,0.145
"CFC 115 (chloropentafluoroethane)",1.05892227419612,0.160833564276567,3857.04665398134,NA,NA,0.148
"Methyl hydrazine",1.05606604237926,0.161949848750088,3856.99090531436,NA,NA,0.146
"Bromacil",1.05578262495914,0.162385327926031,3856.98346931081,NA,NA,0.146
"Acetophenone",1.06921949233994,0.163356715585312,3856.91053261768,NA,NA,0.146
"Trifluralin",1.06480718767391,0.167026323781189,3857.08237233357,NA,NA,0.146
"Cyanazine",1.05564881023785,0.167465224141805,3857.05648086189,NA,NA,0.146
"m-Cresol",1.06009425560195,0.16753038368194,3856.77088760543,NA,NA,0.146
"Carbofuran",1.05802690944398,0.169620048118082,3856.53233577652,NA,NA,0.146
"3,3'-Dichlorobenzidine",1.05498265449817,0.171758026729983,3857.05952455911,NA,NA,0.146
"Chlorobenzene",1.05986083745775,0.17253070258709,3857.29385082955,NA,NA,0.146
"Glycidol",1.04999387391979,0.172713448512502,3857.52463568797,NA,NA,0.148
"2,4-DP (Dichlorprop)",1.05537726568147,0.173777268334324,3857.09754979714,NA,NA,0.146
"trans-1,4-Dichloro-2-butene",1.05899880878803,0.175951251722397,3856.95246866656,NA,NA,0.146
"Selenium",1.06949406021033,0.176683538977957,3856.56558176485,NA,NA,0.147
"Antimony compounds",1.04998113005832,0.177917416699584,3857.41106501533,NA,NA,0.146
"Hexachlorophene",1.05234775668466,0.180016951430884,3857.31040028107,NA,NA,0.145
"1,2,4-Trimethylbenzene",1.07693593274117,0.181164285641094,3856.67296086513,NA,NA,0.145
"Pentachlorophenol",0.65678527231778,0.183467697731465,3854.27132154022,NA,NA,0.147
"Dicamba",1.0601106557077,0.184406539226632,3856.74752105343,NA,NA,0.145
"Arsenic compounds",0.348860719600264,0.184410179140008,3856.17882683884,NA,NA,0.148
"Chlorobenzilate",1.04984434059745,0.188152593048723,3857.38220312192,NA,NA,0.146
