"ZipCode","Total"
"01001",278
"01002",264
"01005",198
"01007",340
"01010",NA
"01013",1043
"01020",1108
"01027",377
"01028",339
"01030",520
"01033",96
"01035",84
"01036",160
"01040",3334
"01056",383
"01057",376
"01060",324
"01062",309
"01069",223
"01073",150
"01075",313
"01077",181
"01082",379
"01085",799
"01089",1043
"01095",425
"01104",2304
"01105",2145
"01106",174
"01107",1453
"01108",3562
"01109",3278
"01118",892
"01119",780
"01129",274
"01151",480
"01201",2473
"01220",437
"01225",NA
"01226",228
"01230",251
"01235",NA
"01238",326
"01240",NA
"01247",700
"01267",433
"01301",1916
"01331",774
"01337",NA
"01360",NA
"01364",359
"01370",103
"01373",NA
"01376",392
"01420",2930
"01430",243
"01431",NA
"01432",366
"01436",321
"01440",1633
"01450",248
"01451",NA
"01452",NA
"01453",1434
"01460",120
"01462",419
"01463",475
"01464",514
"01468",NA
"01469",221
"01473",409
"01475",567
"01501",531
"01503",NA
"01504",390
"01505",NA
"01506",NA
"01507",655
"01510",542
"01516",307
"01518",NA
"01519",NA
"01520",320
"01521",NA
"01522",NA
"01523",166
"01524",174
"01527",781
"01529",NA
"01532",285
"01534",223
"01535",358
"01536",104
"01540",649
"01541",NA
"01543",253
"01545",1153
"01550",2404
"01560",NA
"01562",375
"01564",NA
"01566",577
"01568",180
"01569",613
"01570",1495
"01571",381
"01581",464
"01583",69
"01585",86
"01588",516
"01590",208
"01602",648
"01603",1764
"01604",2464
"01605",4318
"01606",730
"01607",658
"01608",449
"01609",1235
"01610",2574
"01612",NA
"01701",1142
"01702",2270
"01719",NA
"01720",1026
"01721",566
"01730",416
"01740",NA
"01741",NA
"01742",728
"01746",243
"01747",229
"01748",376
"01749",401
"01752",1883
"01754",283
"01756",NA
"01757",1113
"01760",1334
"01772",NA
"01773",NA
"01775",NA
"01776",560
"01778",NA
"01801",1566
"01803",480
"01810",794
"01821",1015
"01824",709
"01826",1308
"01830",1322
"01832",1678
"01833",NA
"01834",441
"01835",802
"01840",358
"01841",4921
"01843",2181
"01844",3281
"01845",892
"01850",1427
"01851",1174
"01852",2601
"01854",2630
"01860",298
"01862",245
"01863",359
"01864",493
"01867",967
"01876",1383
"01879",341
"01880",705
"01886",879
"01887",957
"01890",763
"01901",67
"01902",2958
"01904",639
"01905",1780
"01906",1394
"01907",491
"01908",NA
