"ZipCode","S069X1A","W1789XA","S60011A"
1001,0,0,0
1002,0,0,0
1005,0,0,0
1007,0,0,0
1010,0,0,0
1013,0,0,0
1020,0,0,0
1027,0,0,0
1028,0,0,0
1030,0,0,0
1033,0,0,0
1035,0,0,0
1036,0,0,0
1040,1,0,1
1056,0,0,0
1057,0,0,0
1060,0,0,0
1062,0,0,0
1069,0,0,0
1073,0,0,0
1075,0,0,0
1077,0,0,0
1082,0,0,0
1085,0,0,0
1089,0,0,0
1095,0,0,0
1104,0,0,0
1105,0,0,0
1106,0,0,0
1107,0,0,0
1108,0,0,0
1109,0,0,0
1118,0,0,0
1119,0,0,0
1129,0,0,0
1151,0,0,0
1201,0,1,0
1220,0,0,1
1225,0,0,0
1226,0,0,0
1230,0,0,0
1235,0,0,0
1238,0,0,0
1240,0,0,0
1247,0,0,0
1267,0,0,0
1301,0,0,0
1331,0,0,0
1337,0,0,0
1360,0,0,0
1364,0,0,0
1370,0,0,0
1373,0,0,0
1376,0,0,0
1420,1,0,0
1430,0,0,0
1431,0,0,0
1432,0,1,0
1436,0,0,0
1440,0,0,0
1450,0,0,0
1451,0,0,0
1452,0,0,0
1453,0,0,0
1460,0,0,0
1462,0,0,0
1463,0,0,0
1464,0,0,0
1468,0,0,0
1469,0,0,0
1473,0,0,0
1475,1,0,0
1501,0,0,0
1503,0,0,0
1504,0,0,0
1505,0,0,0
1506,0,0,0
1507,0,0,0
1510,0,0,0
1516,0,0,0
1518,0,0,0
1519,0,0,0
1520,0,0,0
1521,0,0,0
1522,0,0,0
1523,0,0,0
1524,0,0,0
1527,0,0,0
1529,0,0,0
1532,0,0,0
1534,0,0,0
1535,0,0,0
1536,0,0,0
1540,0,0,0
1541,0,0,0
1543,0,0,0
1545,0,0,0
1550,0,0,0
1560,0,0,0
1562,0,0,0
1564,0,0,0
1566,0,0,0
1568,0,0,0
1569,0,1,1
1570,0,2,0
1571,0,0,0
1581,0,0,0
1583,0,0,0
1585,0,1,0
1588,0,0,0
1590,0,0,0
1602,0,0,0
1603,0,0,0
1604,0,0,0
1605,0,4,0
1606,0,0,0
1607,0,5,0
1608,0,0,0
1609,0,0,0
1610,0,0,0
1612,0,0,0
1701,0,0,1
1702,0,0,0
1719,0,0,0
1720,0,0,0
1721,0,0,0
1730,0,0,0
1740,0,0,0
1741,0,0,0
1742,0,0,0
1746,0,0,0
1747,0,0,0
1748,0,0,0
1749,0,0,0
1752,0,0,0
1754,0,0,0
1756,0,0,0
1757,0,0,0
1760,0,0,0
1772,0,0,0
1773,0,0,0
1775,0,0,0
1776,0,0,0
1778,0,0,0
1801,0,0,1
1803,5,0,0
1810,0,0,0
1821,0,1,0
1824,0,0,0
1826,0,0,0
1830,0,0,0
1832,0,0,0
1833,0,0,0
1834,0,0,0
1835,0,0,0
1840,0,0,0
1841,0,0,0
1843,1,0,0
1844,0,0,0
1845,0,0,0
1850,0,1,0
1851,0,0,0
1852,0,0,3
1854,0,0,0
1860,0,0,0
1862,0,0,0
1863,0,0,0
1864,0,0,0
1867,0,0,0
1876,0,0,0
1879,0,0,0
1880,0,0,0
1886,0,0,0
1887,1,0,0
1890,0,0,0
1901,0,0,0
1902,1,0,1
1904,0,0,0
1905,0,0,0
1906,0,0,0
1907,0,0,0
1908,0,0,0
1913,0,0,0
1915,0,0,0
1921,0,0,0
1923,0,0,0
1929,0,0,0
1930,0,0,0
1938,0,0,0
1940,0,0,0
1944,0,0,0
1945,0,0,0
1949,0,0,0
1950,0,0,0
1951,0,0,0
1952,0,0,0
1960,0,0,0
1966,0,0,0
1969,0,0,0
1970,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
2019,0,0,0
2021,0,0,0
2025,0,0,0
2026,0,0,0
2030,0,0,0
2035,0,0,0
2038,0,0,1
2043,0,0,0
2045,0,0,0
2048,0,0,0
2050,0,0,0
2052,0,0,0
2053,0,0,0
2054,0,0,0
2056,0,0,0
2061,0,0,0
2062,0,0,0
2066,0,0,0
2067,0,0,0
2072,0,0,0
2081,0,0,0
2090,0,0,0
2093,0,0,0
2108,0,0,0
2109,0,0,0
2111,0,0,0
2114,0,0,0
2115,0,0,0
2116,0,0,0
2118,0,0,0
2119,0,0,0
2120,0,0,0
2121,3,0,0
2122,1,0,0
2124,0,0,0
2125,0,0,0
2126,0,0,0
2127,0,0,0
2128,0,0,0
2129,0,0,0
2130,0,0,0
2131,0,0,0
2132,0,0,0
2134,0,0,0
2135,0,0,0
2136,0,0,0
2138,0,0,0
2139,0,0,0
2140,0,0,0
2141,0,0,0
2142,0,0,0
2143,0,0,0
2144,0,0,0
2145,0,0,2
2148,0,0,0
2149,0,0,0
2150,0,0,0
2151,2,3,0
2152,0,0,0
2155,0,0,0
2169,0,0,0
2170,0,0,0
2171,0,0,0
2176,0,0,0
2180,0,0,0
2184,0,0,0
2186,0,0,0
2188,0,0,0
2189,0,0,0
2190,0,0,0
2191,0,0,0
2301,0,0,0
2302,0,0,0
2322,0,0,0
2324,0,0,0
2330,0,0,0
2332,0,0,0
2333,1,0,0
2338,0,0,0
2339,0,0,0
2341,0,0,0
2343,0,0,0
2346,0,0,0
2347,0,0,0
2351,0,0,0
2356,0,0,0
2359,1,0,0
2360,0,0,1
2364,0,0,0
2368,0,0,0
2370,0,0,0
2375,0,0,0
2379,0,0,0
2382,0,0,0
2420,0,0,0
2421,0,0,0
2445,1,0,0
2446,0,0,0
2451,0,0,0
2452,0,0,0
2453,0,0,0
2458,0,0,0
2459,0,0,0
2460,0,0,0
2461,0,0,0
2465,0,0,0
2466,0,0,0
2467,0,0,0
2468,0,0,0
2472,0,0,0
2474,0,0,0
2476,0,0,0
2478,0,0,1
2481,0,0,0
2482,0,0,0
2492,0,0,0
2493,0,0,0
2494,0,0,0
2532,0,0,0
2536,0,0,0
2537,0,0,0
2538,0,0,0
2539,0,0,0
2540,0,0,0
2554,0,0,0
2556,0,0,0
2557,0,0,0
2559,0,0,0
2562,0,0,0
2563,0,0,0
2568,0,0,0
2571,0,0,0
2576,0,0,0
2601,1,1,0
2631,0,0,0
2632,0,0,0
2635,0,0,0
2639,0,0,0
2642,0,0,0
2644,0,0,0
2645,0,0,0
2648,0,0,0
2649,0,0,0
2653,0,0,0
2657,0,0,0
2660,0,0,0
2664,1,0,0
2667,0,0,0
2668,0,0,0
2673,0,0,0
2675,0,0,0
2702,0,0,0
2703,0,0,0
2715,0,0,0
2717,0,0,0
2718,0,0,0
2719,0,0,0
2720,0,0,0
2721,0,0,0
2723,0,0,0
2724,0,0,0
2726,0,0,0
2738,0,0,0
2739,0,0,0
2740,0,3,0
2743,0,0,0
2744,0,0,0
2745,0,0,0
2746,0,0,0
2747,0,0,0
2748,0,0,0
2760,0,0,0
2762,0,0,0
2764,0,0,0
2766,0,0,0
2767,0,0,0
2769,0,0,0
2770,0,0,0
2771,0,0,0
2777,0,0,0
2779,0,0,0
2780,0,0,0
2790,0,0,0
2804,0,0,0
2806,0,0,0
2809,0,0,0
2813,0,0,0
2814,0,0,0
2816,0,0,0
2817,0,0,0
2818,0,0,0
2822,0,0,0
2825,0,0,0
2827,0,0,0
2828,0,0,0
2830,0,0,0
2831,0,0,0
2832,0,0,0
2835,0,0,0
2837,0,0,0
2838,0,0,0
2840,0,0,0
2842,0,0,0
2852,0,0,0
2857,0,0,0
2859,0,0,0
2860,0,0,0
2861,0,0,0
2863,0,0,0
2864,0,0,0
2865,0,0,0
2871,0,0,0
2874,0,0,0
2878,0,0,0
2879,0,0,0
2882,0,0,0
2885,0,0,0
2886,0,0,0
2888,0,0,0
2889,0,0,0
2891,0,0,0
2892,0,0,0
2893,0,0,0
2895,0,0,0
2896,0,0,0
2903,0,0,0
2904,0,0,0
2905,0,0,0
2906,0,0,0
2907,0,0,0
2908,0,0,0
2909,0,0,0
2910,0,0,0
2911,0,0,0
2914,0,0,0
2915,0,0,0
2916,0,0,0
2917,0,0,0
2919,0,0,0
2920,0,0,0
2921,0,0,0
3031,0,0,0
3032,0,0,0
3033,0,0,0
3034,0,0,0
3036,0,0,0
3037,0,0,0
3038,0,0,0
3042,0,0,0
3044,0,0,0
3045,0,0,0
3048,0,0,0
3049,0,0,0
3051,0,0,0
